day,open,high,low,close,volume
2023-08-01 09:31:00,4009.183,4009.183,4003.185,4004.915,467906500
2023-08-01 09:32:00,4004.930,4008.878,4004.810,4007.355,256305700
2023-08-01 09:33:00,4007.416,4009.523,4006.313,4009.089,175812500
2023-08-01 09:34:00,4009.951,4012.014,4009.951,4010.590,160014500
2023-08-01 09:35:00,4010.746,4011.874,4008.627,4011.867,144642400
2023-08-01 09:36:00,4011.951,4018.000,4011.951,4018.000,171267800
2023-08-01 09:37:00,4018.714,4019.308,4018.132,4018.387,155380400
2023-08-01 09:38:00,4018.376,4018.376,4012.302,4012.713,141392700
2023-08-01 09:39:00,4013.039,4017.649,4013.039,4017.649,119561000
2023-08-01 09:40:00,4017.632,4017.914,4014.802,4014.802,127555300
2023-08-01 09:41:00,4015.132,4015.257,4011.241,4012.313,160182600
2023-08-01 09:42:00,4012.246,4012.722,4008.887,4008.887,106897900
2023-08-01 09:43:00,4008.633,4012.096,4008.633,4011.475,116688800
2023-08-01 09:44:00,4011.483,4011.584,4009.614,4009.614,92758800
2023-08-01 09:45:00,4009.692,4017.628,4009.692,4017.127,119549000
2023-08-01 09:46:00,4016.495,4016.495,4013.697,4014.184,94826500
2023-08-01 09:47:00,4013.850,4016.576,4013.850,4016.294,104294100
2023-08-01 09:48:00,4016.201,4018.818,4016.201,4018.537,94934600
2023-08-01 09:49:00,4018.413,4020.215,4017.683,4020.215,105426600
2023-08-01 09:50:00,4020.691,4025.112,4020.691,4025.112,109215300
2023-08-01 09:51:00,4025.154,4025.517,4023.930,4024.060,111092800
2023-08-01 09:52:00,4023.860,4026.138,4023.211,4025.988,129094500
2023-08-01 09:53:00,4026.209,4026.596,4024.611,4024.646,147912200
2023-08-01 09:54:00,4024.518,4024.996,4024.355,4024.996,97620900
2023-08-01 09:55:00,4024.708,4026.011,4024.708,4025.219,77188300
2023-08-01 09:56:00,4025.513,4025.513,4024.511,4025.288,98886000
2023-08-01 09:57:00,4025.583,4027.853,4025.583,4027.452,109505400
2023-08-01 09:58:00,4027.980,4028.144,4026.432,4026.680,90263400
2023-08-01 09:59:00,4026.885,4026.885,4023.468,4023.468,92912300
2023-08-01 10:00:00,4023.356,4023.356,4022.415,4022.924,80623900
2023-08-01 10:01:00,4023.295,4023.369,4022.392,4023.171,96910000
2023-08-01 10:02:00,4022.994,4023.910,4022.870,4023.576,85615500
2023-08-01 10:03:00,4023.593,4025.338,4023.511,4025.338,87541200
2023-08-01 10:04:00,4025.750,4026.003,4025.227,4026.003,84085800
2023-08-01 10:05:00,4026.089,4030.718,4026.089,4030.634,90350300
2023-08-01 10:06:00,4030.621,4031.701,4030.027,4030.027,115764500
2023-08-01 10:07:00,4029.851,4030.343,4029.271,4029.457,83307500
2023-08-01 10:08:00,4029.507,4029.507,4028.838,4029.276,69290800
2023-08-01 10:09:00,4029.387,4030.987,4029.387,4030.872,68979900
2023-08-01 10:10:00,4030.799,4031.568,4030.068,4030.132,82757300
2023-08-01 10:11:00,4030.107,4030.584,4029.344,4029.416,90286300
2023-08-01 10:12:00,4029.434,4029.569,4028.556,4028.631,68112000
2023-08-01 10:13:00,4028.731,4028.918,4028.209,4028.625,71094200
2023-08-01 10:14:00,4028.763,4030.028,4028.750,4029.763,76615500
2023-08-01 10:15:00,4029.621,4029.621,4023.442,4023.442,116362100
2023-08-01 10:16:00,4023.773,4023.773,4020.251,4020.251,98892000
2023-08-01 10:17:00,4020.521,4020.690,4019.199,4019.199,96673700
2023-08-01 10:18:00,4019.089,4019.108,4016.867,4017.238,94935500
2023-08-01 10:19:00,4016.883,4016.883,4015.513,4015.513,109970100
2023-08-01 10:20:00,4015.411,4015.685,4014.921,4015.344,83478400
2023-08-01 10:21:00,4015.587,4015.587,4014.709,4014.943,83215800
2023-08-01 10:22:00,4015.104,4017.248,4015.104,4017.116,72566900
2023-08-01 10:23:00,4017.227,4018.757,4017.227,4018.150,50517300
2023-08-01 10:24:00,4018.099,4018.376,4017.799,4018.294,48985400
2023-08-01 10:25:00,4018.718,4019.311,4018.700,4018.700,50597800
2023-08-01 10:26:00,4018.247,4018.247,4016.099,4016.199,53048000
2023-08-01 10:27:00,4016.313,4018.401,4016.313,4018.401,52713200
